Category,Description,Current Period (30-Apr-2022),Previous Period (30-Apr-2021)
Operating Cash Flow,Cash generated from operations,2100000000.0,2150000000.0
Net Income,Net profit after tax,2216002121.01,2707993506.33
Depreciation and Amortization,Add back non-cash charges,791475985.71,695146469.16
Changes in Working Capital,Adjust for changes in working capital,-25000000.0,-20000000.0
Investing Cash Flow,Cash used for investment,-1500000000.0,-1300000000.0
Capital Expenditure,Capital purchases,-700000000.0,-600000000.0
Other Investments,Other investment activities,-800000000.0,-700000000.0
Financing Cash Flow,Cash from financing activities,500000000.0,400000000.0
Debt Repayment,Loan repayments,-300000000.0,-250000000.0
Other Financing Activities,Other financing,800000000.0,700000000.0
Net Increase in Cash,Net increase in cash for the period,205702246.82,270198877.79
